Customer_Gender,M,,,,,,,,,,,,
,,,,,,,,,,,,,
Row Labels,Revenue of Per Country,Sum of Cost,Sum of Profit,,Sum of Revenue,Column Labels,,,,,,,
United States," $1,45,88,293 "," $87,64,760 "," $58,23,533 ",,Row Labels,2012,2011,2013,2014,2015,2016,(blank),Grand Total
Australia," $1,04,41,513 "," $71,08,374 "," $33,33,139 ",,Australia," $25,57,511.00 "," $25,29,914.00 "," $41,07,470.00 "," $28,02,842.00 "," $57,12,339.00 "," $35,91,983.00 ",," $2,13,02,059.00 "
United Kingdom," $53,59,889 "," $31,55,443 "," $22,04,446 ",,Canada," $8,35,527.00 "," $7,89,798.00 "," $14,43,537.00 "," $14,71,522.00 "," $17,31,954.00 "," $16,63,400.00 ",," $79,35,738.00 "
France," $44,18,191 "," $29,27,449 "," $14,90,742 ",,France," $9,62,153.00 "," $9,46,624.00 "," $14,31,870.00 "," $14,11,100.00 "," $18,77,928.00 "," $18,03,197.00 ",," $84,32,872.00 "
Canada," $42,71,757 "," $22,28,143 "," $20,43,614 ",,Germany," $8,35,188.00 "," $8,33,603.00 "," $14,52,704.00 "," $17,02,508.00 "," $19,31,091.00 "," $22,23,502.00 ",," $89,78,596.00 "
Germany," $42,55,766 "," $26,64,008 "," $15,91,758 ",,United Kingdom," $8,34,885.00 "," $8,23,481.00 "," $18,68,796.00 "," $20,14,044.00 "," $24,84,181.00 "," $26,20,809.00 ",," $1,06,46,196.00 "
Grand Total," $4,33,35,409 "," $2,68,48,177 "," $1,64,87,232 ",,United States," $31,50,719.00 "," $30,41,468.00 "," $49,35,660.00 "," $47,50,708.00 "," $62,86,498.00 "," $58,10,494.00 ",," $2,79,75,547.00 "
,,,,,(blank),,,,,,,,
,,,,,Grand Total," $91,75,983.00 "," $89,64,888.00 "," $1,52,40,037.00 "," $1,41,52,724.00 "," $2,00,23,991.00 "," $1,77,13,385.00 ",," $8,52,71,008.00 "
